Depth,AC,CAL,CNL,DEN,GR,HAC,ILD,ILM,LLD,LLS,MINV,MNOR,MSFL,SFLU,SP,result
1219.5491,94.7868,8.6083,30.2606,2.3792,94.6474,94.7378,5.8503,5.7971,6.3738,6.2779,5.9403,5.5216,8.9271,6.0385,70.0756,油层
1219.5991,94.5502,8.5978,30.2083,2.3829,94.8016,95.5636,5.8494,5.7989,6.3503,6.2351,5.687,5.4015,8.7841,6.0745,70.1419,油层
1681.0,89.6046,8.4985,25.5762,2.3693,99.401,91.7653,5.4474,5.4644,5.9022,6.1294,5.3582,3.6715,5.3333,5.5495,70.8793,差油层
1681.05,90.1035,8.4997,25.4853,2.3673,98.8566,91.871,5.6595,5.7463,6.1365,6.3887,5.0705,3.3964,5.4059,5.84,70.541,差油层
1681.1,89.8908,8.5067,25.3846,2.3681,97.8767,91.7962,5.9374,6.0175,6.3683,6.635,5.1282,3.452,5.6073,6.3378,70.1756,差油层
1681.15,89.3248,8.5123,25.2392,2.3644,97.2235,91.8323,6.2085,6.3861,6.6827,6.9776,5.4983,3.7841,5.8618,6.8474,69.7915,差油层
1681.2,88.2084,8.52,25.0893,2.3567,95.917,91.8065,6.4485,6.7035,6.9583,7.2743,6.143,4.2943,6.6856,7.6527,69.3999,差油层
1681.25,87.4696,8.5276,24.9302,2.3502,94.3384,91.7549,6.775,7.1152,7.3143,7.6334,6.6793,4.5385,7.4911,8.4579,69.0137,差油层
1681.3,86.553,8.5302,24.7606,2.346,92.8141,91.675,7.0372,7.5468,8.2554,8.5592,6.9104,4.966,8.2531,9.5034,68.6467,差油层
1681.35,86.2333,8.5239,24.5516,2.3415,90.8,91.8607,7.3261,7.9121,9.158,9.4406,7.1759,5.1706,9.0151,10.5489,68.3127,差油层
1681.4,86.1147,8.515,24.318,2.3393,88.677,92.0282,7.6129,8.3007,10.1984,10.3742,7.8722,6.2481,9.3036,11.624,68.0244,差油层
1681.45,86.1598,8.4973,24.0915,2.3402,87.8604,92.0747,7.8644,8.6893,11.3588,11.5005,8.7069,6.7457,9.7463,12.8081,67.7925,差油层
1681.5,86.192,8.476,23.8264,2.3406,87.2616,91.8452,8.1923,9.1414,12.4067,12.5239,9.1521,7.1562,9.8076,13.8396,67.6247,差油层
1681.55,86.2449,8.4559,23.5345,2.3355,86.2273,91.7008,8.4281,9.5934,12.8095,12.9473,9.0242,6.9529,11.8859,14.6592,67.5256,差油层
1681.6,86.4731,8.4368,23.2319,2.3248,85.4652,90.77,8.6436,9.9124,13.2055,13.3308,8.645,6.4939,13.3227,15.4789,67.4961,差油层
1681.65,86.6987,8.4201,22.9338,2.3166,85.193,89.7386,8.9255,10.3316,13.2632,13.4775,8.7407,6.5598,15.9391,15.8158,67.5339,差油层
1681.7,86.8392,8.4067,22.6457,2.3048,84.2676,87.8332,9.1169,10.626,13.1683,13.4301,9.1104,6.5227,17.0341,16.1526,67.6337,差油层
1681.75,86.767,8.4012,22.3446,2.2997,83.4511,86.923,9.3193,10.9005,13.0698,13.3693,9.7887,7.1045,16.7478,16.192,67.788,差油层
1681.8,86.5324,8.4012,22.0526,2.3084,83.07,86.232,9.4486,11.1749,13.0204,13.331,9.9971,7.2782,15.3858,16.2765,67.9878,差油层
1681.85,86.4512,8.4145,21.759,2.3307,83.1789,86.2011,9.4707,11.2735,13.0626,13.3852,9.4496,7.4876,13.9553,16.2207,68.2231,差油层
1681.9,86.3351,8.4341,21.4711,2.3475,83.5055,86.4615,9.4434,11.372,13.2299,13.5588,8.1444,6.5982,12.6727,16.0675,68.4841,差油层
1681.95,86.1224,8.4602,21.2221,2.363,84.812,86.6188,9.3369,11.3619,13.5014,13.7684,6.6729,5.1362,10.8849,15.9144,68.7615,差油层
1682.0,85.559,8.4825,21.0325,2.3781,86.2818,86.428,9.1956,11.121,13.7558,13.9712,6.0018,3.8356,11.3328,15.6732,69.0468,差油层
1682.05,85.2535,8.5033,20.9134,2.3893,87.9693,85.8556,9.0776,10.9158,13.8132,13.9494,6.4046,3.8008,14.1125,15.0405,69.3329,差油层
1682.1,85.3618,8.5138,20.8583,2.396,89.9834,84.5561,8.8302,10.5311,13.4294,13.6213,7.3633,4.8294,14.1188,14.5946,69.6137,差油层
1682.15,85.8298,8.5198,20.8094,2.3981,91.9432,83.0915,8.5543,10.1464,12.7056,12.8653,8.1435,5.7556,14.4053,13.8856,69.8844,差油层
1682.2,86.8276,8.5225,20.7833,2.3934,93.4129,79.6983,8.2669,9.629,11.7061,11.8754,8.1579,5.8198,20.9197,13.195,70.1412,差油层
1682.25,87.5199,8.5251,20.8045,2.3875,94.7739,76.8544,7.9018,9.0344,10.499,10.73,7.68,5.1586,19.5377,12.1838,70.3815,差油层
1682.3,88.6957,8.5256,20.8566,2.3826,95.8626,74.0336,7.6409,8.5002,9.3489,9.6384,7.2461,4.4637,14.8829,10.9593,70.6032,差油层
1682.35,89.66,8.5251,20.98,2.3832,96.788,74.6215,7.4322,7.9558,8.4569,8.7093,6.8281,4.2595,13.7114,9.7232,70.8053,差油层
1682.4,91.2638,8.5273,21.1798,2.3827,97.3868,80.0413,7.2244,7.4257,7.7046,8.0307,6.1609,4.0544,11.3802,8.4653,70.9875,差油层
1682.45,92.1469,8.56,21.3896,2.3878,98.04,85.7885,6.9789,7.0761,7.0831,7.4505,5.0198,3.5046,4.1307,7.3001,71.1503,差油层
1682.5,92.8237,8.6142,21.6254,2.3939,98.7477,94.3798,6.6675,6.7052,6.5895,6.9565,4.0589,2.8929,4.2729,6.5301,71.2947,差油层
