Depth,AC,CAL,CNL,DEN,GR,MINV,MNOR,R045,R4,RILD,RILM,RLL8,RLLD,RLLS,RPRX,SP,result
1323.8125,98.1034,8.8575,25.0268,2.1661,71.8339,4.4826,5.5815,8.2238,3.2421,6.1963,5.8497,7.908,7.4646,6.9333,17.4028,73.9632,水层
1323.84375,97.883,8.878,24.9547,2.1717,72.703,4.4688,5.5676,8.0707,3.0995,6.2298,5.8485,7.9373,7.3552,6.7939,16.8628,74.1018,水层
1323.875,97.6425,8.9289,24.9066,2.1757,73.4138,4.4801,5.5797,7.9177,2.9826,6.2516,5.8258,7.8934,7.2473,6.7564,16.339,74.2404,水层
1323.90625,97.362,9.01,24.8705,2.1781,73.9624,4.4797,5.6552,7.7136,2.9043,6.2741,5.825,7.8063,7.1543,6.6696,16.0084,74.3538,水层
1323.9375,97.2016,9.1214,24.8464,2.1819,74.5129,4.5173,5.6672,7.5094,2.8132,6.2725,5.8128,7.6774,7.0363,6.5597,15.5975,74.5049,水层
1323.96875,97.0212,9.248,24.8464,2.1843,75.0624,4.5804,5.692,7.3182,2.7219,6.2718,5.812,7.5506,6.9717,6.3219,15.1407,74.6052,水层
1324.0,96.8007,9.3543,24.8703,2.1861,75.611,4.6687,5.7549,7.1141,2.6817,6.2707,5.8109,7.4123,6.8694,6.3219,14.8896,74.6546,水层
1324.03125,96.6203,9.4657,24.9423,2.1877,76.0813,4.7317,5.7794,6.9611,2.6028,6.2809,5.8099,7.2899,6.7812,6.2062,14.6697,74.4099,水层
1324.0625,96.5201,9.5721,24.9663,2.1909,76.4696,4.7822,5.8295,6.8082,2.5499,6.2917,5.8304,7.1828,6.7189,6.1039,14.4262,74.0376,水层
1324.09375,96.3396,9.3656,25.0502,2.1945,76.7787,4.8322,5.8797,6.6298,2.5227,6.3255,5.8729,7.0904,6.6449,6.0367,14.1867,73.3841,水层
1324.125,96.1993,9.0935,25.0862,2.1969,76.9275,4.8184,5.8791,6.4897,2.5083,6.4068,5.9484,6.9604,6.5353,5.9262,13.8994,72.8713,水层
1324.15625,96.099,8.9475,25.1942,2.2009,76.9141,4.7409,5.8781,6.388,2.5065,6.4298,6.0141,6.8964,6.5112,5.8501,13.6434,72.3331,水层
1324.1875,96.0187,8.8924,25.3143,2.2031,76.5039,4.7146,5.89,6.3634,2.5173,6.4768,6.103,6.8076,6.4157,5.7857,13.3178,71.5903,水层
1324.21875,95.8984,8.8624,25.4223,2.2065,75.7702,4.6626,5.8892,6.39,2.5661,6.5844,6.1932,6.72,6.3685,5.7008,13.8698,70.6558,水层
1324.25,95.7781,8.772,25.4943,2.2099,74.5556,4.6362,5.85,6.6472,2.6282,6.6448,6.2963,6.6828,6.31,5.6798,14.4444,69.6705,水层
1324.28125,95.6777,8.6715,25.6263,2.2127,73.4231,4.597,5.7979,7.0713,2.6775,6.7554,6.3774,6.6582,6.2635,5.6484,14.9323,68.7742,水层
