Depth,AC,CAL,CALI,GR,HAC,LLD,LLS,MINV,MNOR,MSFL,NPHI,PD,RHOB,RILD,RILM,RSFL,SP,result
807.28125,356.7165,8.5879,8.5879,72.6794,359.6061,9.5379,8.2644,5.7805,5.7006,9.5549,0.3187,166.573,2.1022,3.3931,3.3009,8.0647,65.9168,水层
807.3125,360.381,8.5838,8.5838,72.9275,359.6061,9.3116,8.0682,5.8603,5.7804,9.4323,0.3201,164.2226,2.1034,3.4311,3.3192,7.947,65.9524,水层
807.34375,362.403,8.5672,8.5672,73.2397,362.2607,9.158,7.9793,5.9401,5.8801,9.2086,0.3212,162.8933,2.1058,3.463,3.3501,7.6884,66.0724,水层
807.375,364.1733,8.5506,8.5506,73.6156,364.6632,9.0571,7.8622,5.7801,5.9,9.1073,0.3223,161.9212,2.1076,3.4824,3.3751,7.6884,66.0724,水层
807.40625,365.1853,8.5216,8.5216,74.2406,365.8011,8.9408,7.8329,5.6801,5.78,8.8424,0.324,160.6936,2.1088,3.4763,3.3877,7.5484,66.1084,水层
807.4375,366.1982,8.5133,8.5133,74.4908,364.5407,8.842,7.732,5.5402,5.4802,8.7451,0.3247,160.5383,2.108,3.47,3.3693,7.3975,66.1476,水层
807.46875,366.5793,8.4883,8.4883,75.056,363.0278,8.6799,7.6465,5.3802,5.2603,8.6962,0.3254,160.6384,2.1064,3.4259,3.3571,7.3975,66.2259,水层
807.5,366.5825,8.4592,8.4592,75.7463,359.7494,8.5683,7.6039,5.0403,4.9004,8.7917,0.3266,160.8916,2.1056,3.4071,3.3328,7.303,66.2648,水层
807.53125,366.2066,8.4426,8.4426,76.1858,358.3632,8.3958,7.5756,5.0403,4.9004,8.8885,0.3268,161.4002,2.1042,3.3025,3.3206,7.223,66.3856,水层
807.5625,365.8295,8.4218,8.4218,77.128,357.2285,8.3957,7.4776,4.9004,4.9004,8.9696,0.3255,161.8066,2.1036,3.2663,3.2965,7.1438,66.3798,水层
807.59375,364.6956,8.3969,8.3969,77.6306,355.466,8.4567,7.4636,4.7604,4.7404,9.0848,0.3242,162.7234,2.1028,3.201,3.2544,7.0396,66.419,水层
807.625,363.183,8.372,8.372,78.5091,355.466,8.5337,7.3948,4.7604,4.6005,9.1513,0.3211,163.5891,2.105,3.1313,3.1952,6.8607,66.4553,水层
807.65625,362.175,8.3595,8.3595,78.9492,355.5952,8.5804,7.3265,4.4604,4.6005,9.2519,0.32,164.5065,2.111,3.0913,3.0857,6.798,66.4499,水层
807.6875,360.0328,8.3513,8.3513,80.395,356.9885,8.6431,7.2722,4.4604,4.3604,9.3704,0.3189,165.5258,2.117,3.0074,3.0463,6.6252,66.4474,水层
807.71875,358.2689,8.3347,8.3347,80.6458,356.9885,8.7221,7.1919,4.4003,4.3604,9.4217,0.3177,166.8512,2.1238,2.9257,2.958,6.4212,66.3582,水层
807.75,358.2689,8.3347,8.3347,81.274,357.7494,8.8179,7.1255,4.3602,4.3203,9.5078,0.3154,167.922,2.1282,2.9257,2.8777,6.2121,66.3514,水层
807.78125,357.2609,8.3348,8.3348,81.6494,358.0039,8.866,6.9952,4.3202,4.3002,9.6123,0.3141,169.6052,2.1354,2.8515,2.7892,5.8785,66.2651,水层
807.8125,354.8654,8.3391,8.3391,81.7718,358.2602,8.8165,6.8799,4.3,4.3001,9.6825,0.3112,171.7482,2.1406,2.8151,2.7485,5.6557,66.1785,水层
807.84375,353.4782,8.3434,8.3434,81.9578,358.1348,8.6233,6.754,4.3,4.3199,9.753,0.309,173.8908,2.1482,2.7437,2.6738,5.3323,66.1713,水层
807.875,350.5784,8.356,8.356,82.1428,357.3806,8.3576,6.582,4.2998,4.3597,9.5045,0.3079,174.7572,2.157,2.7087,2.6204,5.2351,66.1691,水层
807.90625,349.1913,8.3644,8.3644,82.2668,356.246,7.9233,6.3908,4.3196,4.3796,8.994,0.3057,175.4704,2.163,2.6742,2.5539,5.0367,66.1641,水层
807.9375,347.9308,8.377,8.377,82.4529,353.2189,7.4702,6.2165,4.3993,4.4791,8.2644,0.303,175.775,2.1716,2.6207,2.5213,4.74,66.1572,水层
807.96875,344.5272,8.3896,8.3896,82.7009,349.6863,6.9787,5.9587,4.4392,4.4791,7.678,0.3022,175.9772,2.18,2.5826,2.4847,4.5436,66.1968,水层
808.0,344.5272,8.4063,8.4063,82.8244,345.0175,6.5676,5.6907,4.4591,4.5189,7.2126,0.3007,176.0779,2.1926,2.5685,2.4756,4.2759,66.2359,水层
820.625,359.1629,8.131,8.131,100.9731,368.2746,4.8559,3.81,1.6269,1.7666,3.9891,0.343,262.4614,2.3353,3.7472,3.5524,3.8752,63.4744,水层
820.65625,347.9279,8.2021,8.2021,100.5924,361.7105,5.0186,3.9017,1.7465,1.7666,3.9888,0.3396,259.3307,2.3407,3.6252,3.2884,3.9257,64.1839,水层
820.6875,341.3641,8.2606,8.2606,99.5112,352.4955,5.1773,3.9375,1.8263,1.8264,3.9302,0.3342,255.5436,2.3485,3.3868,3.0384,3.9257,64.7263,水层
820.71875,337.0724,8.2899,8.2899,99.5112,348.078,5.2441,4.0394,1.8861,1.8862,3.8796,0.3309,253.4733,2.3497,3.2407,2.9233,3.9331,65.1845,水层
820.75,330.2564,8.3442,8.3442,99.1931,342.2719,5.3704,4.0394,1.9459,1.9659,3.8437,0.3253,250.2922,2.3521,2.8967,2.7563,3.9404,65.5587,水层
820.78125,325.9655,8.4027,8.4027,99.0016,337.3502,5.4395,4.0913,2.0855,2.1455,3.8153,0.3213,246.0507,2.3535,2.6568,2.6036,3.9625,66.0587,水层
820.8125,321.9272,8.4362,8.4362,98.6188,333.6903,5.449,4.1436,2.1653,2.2253,3.7662,0.3161,243.1221,2.3535,2.4413,2.4594,3.9772,66.5158,水层
820.84375,316.6265,8.4947,8.4947,98.3632,329.9046,5.438,4.1436,2.285,2.325,3.7314,0.3143,238.1232,2.3513,2.264,2.3274,3.9919,66.8077,水层
820.875,314.8599,8.524,8.524,97.8525,326.624,5.438,4.1812,2.4246,2.5444,3.7175,0.3073,233.7303,2.3503,2.1112,2.2065,4.0738,67.1822,水层
