Depth,AC,CAL,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MSFL,NPHI,PD,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1415.0,251.122,8.638,0.033,75.884,84.828,238.94,9.27,9.629,10.931,11.3,25.92,0.145,159.818,4.021,2.496,15.233,-6.422,541.141,384.318,541.141,390.428,水层
1415.0625,253.306,8.642,0.035,76.556,85.719,248.148,9.049,9.447,10.618,10.831,17.927,0.138,167.0,4.301,2.488,15.379,-6.202,543.177,386.354,543.177,390.428,水层
1415.125,261.041,8.691,0.038,77.28,87.86,256.185,8.829,9.007,10.304,10.363,12.607,0.136,171.866,4.603,2.471,14.555,-5.975,543.177,386.354,543.177,390.428,水层
1415.1875,272.575,8.736,0.044,78.728,90.154,267.366,8.608,8.752,10.033,9.895,10.505,0.136,173.741,4.839,2.453,13.691,-5.758,545.214,388.391,545.214,392.464,水层
1415.25,281.773,8.788,0.049,79.866,94.079,278.067,8.387,8.344,9.287,9.426,8.301,0.142,175.514,5.172,2.435,12.828,-5.523,543.177,390.428,543.177,392.464,水层
1415.3125,283.183,8.813,0.054,81.83,96.275,268.643,8.167,8.108,8.63,8.958,6.176,0.151,176.831,5.361,2.412,11.964,-5.38,543.177,394.501,543.177,394.501,水层
1415.375,283.269,8.853,0.059,82.865,98.81,254.629,8.087,7.879,7.973,8.506,6.519,0.162,180.829,5.846,2.382,11.101,-5.23,543.177,396.538,543.177,396.538,水层
1417.25,216.874,8.811,0.098,75.109,89.277,210.305,7.516,8.144,14.004,13.092,4.835,0.203,105.186,4.088,2.446,9.629,-5.203,539.104,390.428,539.104,390.428,干层
1417.3125,215.213,8.663,0.089,72.937,85.24,184.235,8.108,8.789,16.254,14.403,11.795,0.182,104.905,3.84,2.48,13.718,-5.411,535.031,388.391,535.031,388.391,干层
1417.375,214.37,8.639,0.078,70.765,80.152,188.933,8.596,9.433,18.723,17.368,45.013,0.161,108.109,3.723,2.513,18.024,-5.621,535.031,384.318,535.031,384.318,干层
1417.4375,211.661,8.61,0.068,68.49,76.713,194.543,8.874,10.005,21.191,21.685,94.765,0.14,116.151,3.583,2.543,23.884,-5.828,530.957,380.244,530.957,380.244,干层
1417.5,207.825,8.616,0.06,68.077,73.513,211.571,9.151,10.903,22.959,23.623,93.868,0.118,120.953,3.544,2.563,27.853,-6.037,530.957,372.098,530.957,372.098,干层
1417.5625,205.516,8.613,0.05,66.836,71.8,228.818,9.429,11.328,23.178,23.4,64.768,0.095,132.496,3.472,2.563,29.732,-6.247,528.921,368.024,528.921,368.024,干层
1417.625,208.726,8.615,0.044,67.249,70.848,240.83,9.682,11.882,22.313,22.532,34.565,0.082,136.104,3.441,2.558,32.094,-6.452,528.921,361.914,528.921,361.914,干层
1417.6875,211.438,8.599,0.039,67.456,70.54,249.443,9.871,12.345,21.892,21.569,26.27,0.081,137.253,3.489,2.55,29.997,-6.666,528.921,359.878,528.921,359.878,干层
1417.75,214.123,8.577,0.036,68.18,72.348,247.001,10.06,12.583,21.018,20.605,17.757,0.083,136.819,3.561,2.542,27.597,-6.748,530.957,361.914,530.957,361.914,干层
1417.8125,219.895,8.571,0.035,68.8,73.909,228.109,10.343,12.826,19.949,19.641,16.3,0.086,135.276,3.727,2.533,25.763,-6.74,530.957,363.951,530.957,363.951,干层
1417.875,226.141,8.573,0.037,70.041,75.481,212.42,10.296,12.826,18.88,18.678,14.821,0.091,134.373,3.92,2.526,22.537,-6.741,532.994,370.061,532.994,370.061,干层
1417.9375,233.751,8.574,0.041,70.662,77.23,196.452,10.198,12.704,17.342,17.293,23.018,0.096,139.119,4.145,2.517,21.486,-6.744,535.031,374.134,535.031,374.134,干层
1418.0,241.224,8.614,0.045,72.42,79.442,202.014,10.101,12.286,15.656,15.775,32.647,0.103,148.599,4.381,2.506,20.392,-6.736,535.031,380.244,535.031,380.244,干层
1418.0625,249.139,8.676,0.049,73.247,84.091,228.51,9.879,11.515,13.971,14.258,26.533,0.11,155.282,4.638,2.503,18.796,-6.752,539.104,386.354,539.104,386.354,干层
1418.125,261.619,8.793,0.052,75.522,88.419,237.493,9.601,10.622,12.285,12.74,11.463,0.117,171.495,4.902,2.482,17.413,-6.594,541.141,388.391,541.141,388.391,干层
1418.1875,275.642,8.88,0.056,77.487,93.286,246.398,9.216,9.728,10.594,11.222,13.221,0.124,184.788,5.162,2.461,15.675,-6.385,543.177,394.501,543.177,394.501,干层
1419.4375,308.119,9.515,0.133,94.86,111.111,329.1,5.43,4.527,4.343,4.731,3.838,0.27,213.391,7.031,2.264,5.278,-4.754,577.8,420.978,577.8,425.051,干层
1419.5,295.624,9.445,0.122,94.447,112.371,334.377,5.549,4.57,4.385,4.731,3.802,0.287,203.651,6.798,2.261,4.703,-4.854,573.727,418.941,573.727,420.978,干层
1419.5625,283.164,9.393,0.117,93.723,112.917,337.101,5.669,4.748,5.133,4.868,4.598,0.294,192.461,6.602,2.259,4.357,-4.91,571.69,416.904,573.727,420.978,干层
1419.625,271.59,9.291,0.106,92.378,112.977,330.8,5.803,5.175,6.298,5.354,4.555,0.304,177.965,6.365,2.27,4.928,-4.879,573.727,412.831,573.727,416.904,干层
1419.6875,261.623,9.207,0.097,89.793,112.598,301.167,5.915,5.586,7.462,6.359,4.21,0.296,164.034,6.019,2.297,5.896,-5.057,575.764,410.794,575.764,414.868,干层
1419.75,252.856,9.116,0.086,86.277,110.93,268.056,6.03,6.146,8.627,7.364,3.802,0.28,151.771,5.634,2.333,6.863,-5.109,575.764,406.721,577.8,412.831,干层
1419.8125,251.327,9.058,0.081,84.668,108.842,239.796,6.03,6.634,9.791,8.369,3.875,0.261,143.124,5.244,2.37,7.831,-5.128,577.8,402.648,579.837,410.794,干层
1419.875,248.664,8.947,0.07,81.003,105.617,214.58,6.03,6.892,11.14,9.844,5.444,0.241,131.68,4.866,2.408,10.282,-5.493,579.837,396.538,581.874,408.758,干层
1419.9375,248.076,8.855,0.065,79.452,103.573,201.059,6.087,7.025,12.351,12.136,12.865,0.217,132.698,4.5,2.434,13.595,-5.484,579.837,392.464,583.91,406.721,干层
1420.0,248.025,8.781,0.058,77.728,102.193,205.999,6.087,7.23,13.791,13.998,27.209,0.186,135.909,4.368,2.448,17.58,-5.731,579.837,390.428,583.91,402.648,干层
1420.0625,247.367,8.743,0.055,76.031,98.616,219.249,6.087,7.44,15.841,14.962,41.81,0.164,141.361,4.232,2.487,20.096,-5.917,577.8,388.391,582.235,398.574,干层
1420.125,245.736,8.721,0.053,75.005,95.961,245.405,6.087,7.583,15.315,15.841,40.248,0.161,148.238,4.175,2.508,21.486,-6.119,577.8,386.354,580.842,396.538,干层
1420.1875,247.53,8.715,0.054,75.109,94.476,257.759,6.087,7.511,14.4,15.048,32.26,0.147,160.488,4.306,2.507,22.753,-6.391,577.8,386.354,579.449,394.501,干层
1420.25,253.476,8.736,0.057,75.626,93.556,258.208,6.16,7.511,13.485,14.006,25.743,0.144,167.974,4.413,2.492,22.972,-6.592,577.8,386.354,578.055,392.464,干层
1420.3125,258.202,8.782,0.062,77.797,93.591,258.703,6.292,7.299,12.488,12.963,19.226,0.149,175.768,4.549,2.478,20.041,-6.76,575.764,388.391,576.662,392.464,干层
