wellname,Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,lith
gu461,1998.6743,73.335,8.3807,16.0141,0.0236,2.4668,103.5162,247.0989,12.4898,9.8559,12.878,11.2878,13.1227,10.0773,-36.5223,4
gu461,1998.7056,73.3195,8.3653,16.0674,0.0246,2.4631,103.033,245.9595,12.6107,9.9683,12.9321,11.3711,13.6444,10.1513,-36.6161,4
gu461,1998.7369,73.3824,8.3497,16.1388,0.0262,2.4581,102.036,245.0367,12.824,10.1683,12.9825,11.4571,14.134,10.2868,-36.7293,4
gu461,1998.7682,73.4718,8.3337,16.2164,0.0287,2.4525,100.866,244.2033,13.068,10.3973,13.0315,11.5431,14.61,10.4434,-36.8488,4
gu461,1998.7995,73.5781,8.3188,16.2853,0.0312,2.4465,99.6176,243.4621,13.3575,10.6676,13.0784,11.6282,14.9543,10.6326,-36.981,4
gu461,1998.8308,73.7207,8.3071,16.3339,0.0332,2.4393,98.2109,243.9424,13.7443,11.026,13.1204,11.7105,15.0013,10.8917,-37.138,4
gu461,1998.8621,73.8802,8.2971,16.3729,0.0358,2.4319,96.7259,245.3582,14.1783,11.427,13.1599,11.7915,14.9063,11.1841,-37.307,4
gu461,1998.8934,74.0368,8.2883,16.402,0.0388,2.4249,95.2634,247.1093,14.6311,11.8407,13.199,11.871,14.7608,11.4914,-37.4826,4
gu461,1998.9247,74.1761,8.2838,16.3839,0.0412,2.4179,93.9426,248.4128,15.1631,12.3044,13.2368,11.9431,14.3797,11.8605,-37.6869,4
gu461,1998.956,74.3062,8.2818,16.3377,0.0438,2.4108,92.6972,249.9057,15.7454,12.8009,13.274,12.0108,13.8567,12.2687,-37.9098,4
gu461,1998.9873,74.4362,8.2798,16.2917,0.0462,2.4038,91.4562,251.2801,16.3254,13.2953,13.311,12.0778,13.3363,12.6757,-38.1312,4
gu461,1999.0186,74.5317,8.2802,16.2118,0.047,2.398,90.4016,252.1438,16.9184,13.7335,13.3545,12.1341,12.8317,13.1034,-38.3795,4
gu461,1999.0499,74.604,8.2828,16.1084,0.047,2.393,89.4704,253.8922,17.5228,14.1345,13.4027,12.1827,12.3352,13.5466,-38.6476,4
gu461,1999.0812,74.676,8.2852,16.006,0.047,2.388,88.543,254.861,18.1248,14.5341,13.4507,12.2307,11.8408,13.9876,-38.9152,4
