wellname,Depth,AC,CALI,DFL,DRHO,DT,GR,HAC,HRID,HRIM,LLD,LLS,MSFL,NPHI,PD60,PE,RHOB,SP,lith
gu471,1866.63125,260.8823,8.6046,8.9471,0.1931,75.5172,87.8939,261.0612,6.5899,6.9491,10.1833,10.2149,19.833,0.2547,100.4148,3.1691,2.6206,-6.3089,5
gu471,1866.6625,260.6258,8.627,6.1623,0.2733,78.9319,99.1339,261.0599,5.6042,5.9103,8.0235,8.042,11.9935,0.2423,100.6657,3.5519,2.6273,-5.8375,5
gu471,1866.69375,259.8633,8.6528,4.9979,0.3131,82.0453,111.2148,260.9279,4.9016,5.169,6.327,6.3698,6.2944,0.2355,101.1178,4.0737,2.5922,-5.3657,5
gu471,1866.725,258.9736,8.6794,4.3502,0.3254,84.2544,120.6401,260.9279,4.4605,4.6999,5.2832,5.3704,4.5817,0.2401,101.621,4.5743,2.5258,-4.976,5
gu471,1866.75625,258.0844,8.7106,4.1133,0.3427,85.3906,125.8176,260.5445,4.2271,4.4402,4.6096,4.6556,3.8277,0.2345,102.3761,4.9026,2.4991,-4.7762,5
gu471,1866.7875,257.1948,8.7329,4.2368,0.3442,85.4047,126.0723,260.289,4.1471,4.3399,4.2618,4.3468,3.3667,0.2319,103.2327,4.9497,2.5312,-4.7525,5
gu471,1866.81875,256.4323,8.7302,4.4895,0.3084,84.6761,123.0653,259.7772,4.1756,4.3545,4.3191,4.3566,3.1613,0.238,104.0387,4.5107,2.5677,-4.8096,5
gu471,1866.85,255.5422,8.7061,4.8454,0.2775,84.2453,120.348,259.7772,4.2591,4.4351,4.6721,4.6593,3.6003,0.2289,105.1977,4.0293,2.5731,-4.9144,5
gu471,1866.88125,255.1609,8.6745,5.2997,0.2939,84.4964,119.2261,259.3947,4.3286,4.5063,4.994,5.1226,4.7321,0.2207,105.8525,3.9622,2.5751,-4.9618,5
gu471,1866.9125,254.7782,8.6472,5.5141,0.3299,84.9365,118.9901,258.8833,4.3202,4.499,5.1488,5.27,5.8147,0.2225,106.9619,4.2988,2.5935,-4.8571,5
gu471,1866.94375,254.5216,8.6363,5.1255,0.3457,85.4047,119.6915,258.5025,4.2214,4.3991,5.1518,5.2678,7.2563,0.2172,107.7683,4.5212,2.5986,-4.7474,5
gu471,1866.975,254.5193,8.6319,4.8141,0.3428,86.118,121.4956,258.2462,4.0845,4.2599,4.9986,5.1581,7.6912,0.213,108.9783,4.6508,2.587,-4.5854,5
gu471,1867.00625,254.515,8.627,4.5598,0.3107,86.7688,123.9197,257.7375,3.9788,4.1533,4.8282,4.8736,6.8289,0.2145,109.8855,4.4669,2.5598,-4.3567,5
