Depth,AC,CALS,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD60,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
950.0625,351.6691,9.6328,0.0204,102.5896,111.6875,365.888,3.6051,3.4234,3.5782,3.104,1.2646,4.5664,50.0938,0.3208,152.0681,2.7296,2.4033,3.1687,-25.0625,674.1959,479.9562,676.3763,500.7888,水层
950.09375,348.6016,9.6172,0.0173,101.857,111.1875,356.8273,3.5818,3.4405,3.7992,3.2535,1.2637,4.4961,50.0938,0.3142,146.7433,2.7839,2.3999,3.1948,-25.0312,685.2512,460.5385,688.3906,473.3257,水层
950.125,345.9164,9.5469,0.0199,102.218,116.5625,347.6377,3.579,3.5317,3.9474,3.4058,1.2627,4.4141,50.0625,0.3085,144.3884,2.8262,2.399,3.2923,-25.0625,680.0314,454.7867,691.0314,464.466,水层
950.15625,342.9747,9.5781,0.0292,101.8646,115.5621,342.6569,3.6019,3.5656,4.1091,3.567,1.2637,4.3984,50.0625,0.2968,141.675,2.8372,2.4242,3.4786,-24.8124,668.199,457.5041,678.7681,468.6464,水层
950.1875,342.3298,9.6562,0.0309,100.9341,114.4976,338.567,3.6307,3.4975,4.214,3.6248,1.2646,4.3789,50.0938,0.2931,137.9376,2.8452,2.4406,3.6336,-24.5313,657.3524,461.3833,665.7048,472.565,水层
950.21875,343.4674,9.6641,0.0278,100.2481,108.5625,335.6261,3.6819,3.4317,4.2057,3.6034,1.2646,4.5781,50.1562,0.2971,136.4444,2.6862,2.4435,3.4307,-24.6875,655.65,461.4918,661.325,475.1626,水层
950.25,345.368,9.6641,0.03,101.0442,105.3125,333.4501,3.7642,3.4407,4.0504,3.5003,1.2656,4.7303,50.125,0.3072,135.1746,2.6018,2.4384,3.1665,-24.9062,657.6744,446.3488,663.1512,462.4263,水层
950.28125,348.159,9.6641,0.0292,101.1634,103.4375,330.8902,3.7944,3.5222,3.6587,3.2081,1.2646,4.832,50.0938,0.315,134.0988,2.5581,2.4327,3.0308,-24.8594,655.9553,444.1634,663.866,456.5866,水层
950.3125,349.5529,9.6328,0.0276,99.9,106.875,331.2641,3.7666,3.6407,3.6406,3.1897,1.2627,4.9727,50.0938,0.304,133.639,2.6884,2.4308,3.1332,-24.9688,655.0913,444.0406,659.637,455.8909,水层
950.34375,351.3276,9.6172,0.0374,98.3135,109.4375,331.6366,3.7025,3.7076,3.9335,3.3974,1.2627,5.5117,50.0938,0.2778,133.6903,2.8316,2.4412,3.5346,-25.0,656.9189,443.143,663.4189,456.6501,水层
950.375,352.7216,9.6328,0.0452,96.5871,111.875,332.0119,3.6407,3.6686,4.3925,3.6978,1.2627,5.8906,50.0938,0.2573,135.6366,2.868,2.4366,4.0355,-25.3438,647.7411,450.3192,654.6808,462.344,水层
950.40625,354.7512,9.6328,0.0551,98.2229,107.9375,333.0233,3.6792,3.5309,4.8874,4.0351,1.2627,5.8359,50.0938,0.2619,136.8662,2.7156,2.4263,4.1371,-25.4062,641.1696,451.5859,649.5594,464.2004,水层
950.4375,356.6502,9.6328,0.0629,100.2887,104.75,334.9271,3.8418,3.4571,4.5815,3.8213,1.2627,5.8633,50.0625,0.2821,138.2495,2.5627,2.4159,3.5536,-25.5,640.0,438.1736,648.4421,450.1973,水层
950.46875,357.536,9.5234,0.0648,101.2031,101.4375,339.6345,4.0268,3.6076,3.9036,3.3276,1.2607,5.9844,50.125,0.3016,139.018,2.4931,2.4076,2.9144,-25.7812,639.2249,434.2198,648.7819,448.6376,水层
950.5,358.5446,9.3594,0.067,101.1173,106.875,343.7057,4.1409,3.9227,3.6699,3.1592,1.2607,6.1328,50.125,0.3088,139.7868,2.4984,2.3979,2.8979,-25.7656,638.0565,437.9174,646.1677,451.3341,水层
950.53125,359.8096,9.3203,0.058,100.8115,109.75,348.0334,4.1775,4.1915,3.7026,3.2168,1.2607,5.7148,50.1562,0.2997,140.0431,2.4424,2.3551,3.5941,-25.7969,642.4962,443.3942,650.9962,458.0076,水层
950.5625,360.9472,9.2422,0.0382,97.8444,104.1195,352.4872,4.1291,4.2998,4.2938,3.6972,1.2607,5.1257,50.125,0.2855,140.4022,2.4201,2.302,4.7548,-26.6729,639.6716,446.7389,647.6119,464.0486,水层
950.59375,362.0833,9.1406,0.0518,98.1311,90.4963,356.686,4.0835,4.2293,5.6827,4.7397,1.2617,4.8867,50.0625,0.2696,140.7612,2.4402,2.2901,5.527,-29.079,644.022,439.4218,650.696,457.7731,水层
950.625,362.7127,9.1094,0.0803,98.327,81.1875,359.1013,4.1473,4.0749,6.2632,5.1684,1.2627,4.8555,50.0938,0.2601,140.9666,2.5958,2.322,5.293,-31.2969,647.3989,431.2935,656.5114,446.9373,水层
950.65625,363.2147,9.3516,0.0932,97.7621,80.375,361.1326,4.2108,3.9657,5.604,4.6825,1.2627,5.0584,50.0938,0.2618,140.9671,2.707,2.3803,4.2369,-31.1562,632.5154,428.6212,641.7896,444.3224,水层
950.6875,363.3297,9.625,0.097,97.1195,89.1875,362.1426,4.2091,3.9265,4.962,4.2002,1.2617,4.9492,50.1562,0.2736,140.7628,2.7157,2.4391,3.5776,-28.7188,622.9818,429.2792,631.8212,441.3212,水层
950.71875,363.1915,9.6719,0.0952,97.2799,92.875,362.3876,4.1898,3.8795,4.245,3.6258,1.2617,4.8555,50.1562,0.2854,140.2002,2.623,2.4661,3.4168,-26.3438,618.3646,424.4203,627.9105,439.0,水层
950.75,363.3112,9.7109,0.061,96.8897,97.75,361.8676,4.1103,3.826,3.8212,3.2743,1.2607,4.5938,50.1562,0.2888,139.5862,2.5707,2.4413,3.3309,-25.7188,614.7275,424.8294,622.2725,439.7393,水层
950.78125,363.2989,9.7031,0.0321,96.0447,100.25,361.0941,3.9703,3.8426,3.9686,3.3992,1.2598,4.3984,50.1562,0.2832,138.9724,2.598,2.4076,3.3402,-25.3906,617.3262,423.9647,622.8696,440.1385,水层
