Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,result
1937.6706,65.654,8.78,12.8534,-0.0025,2.5725,71.4967,204.6885,19.8411,18.4096,7.8299,8.6481,34.8057,17.4771,-36.7162,干层
1937.7019,65.0003,8.7805,12.0409,-0.002,2.5841,71.4779,205.4822,20.25,17.1828,8.1054,8.8125,26.2852,17.8256,-36.8351,干层
1937.7332,64.7202,8.7805,11.2804,-0.002,2.5918,71.9963,207.6282,19.6753,15.9403,8.4342,9.0003,21.2863,17.3626,-36.9453,干层
1937.7645,64.5988,8.78,10.5385,-0.002,2.5978,72.7458,209.8069,18.6784,14.6864,8.7872,9.199,17.7697,16.5519,-37.0532,干层
1937.7958,64.5796,8.7795,9.8185,-0.0015,2.6024,73.5968,211.562,17.6831,13.5243,9.1479,9.4022,14.7064,15.7556,-37.1561,干层
1937.8271,64.8326,8.779,9.1469,4.0E-4,2.6045,74.7311,212.398,16.6784,12.589,9.5354,9.6204,12.8036,14.9844,-37.2478,干层
1937.8584,65.2606,8.779,8.5104,0.0029,2.6055,76.0411,212.5343,15.6744,11.8055,9.9374,9.8469,11.6641,14.2349,-37.3324,干层
1937.8897,65.6957,8.7785,7.9109,0.0054,2.606,77.3417,212.8498,14.7158,11.0674,10.3315,10.0701,10.6217,13.5192,-37.414,干层
1937.921,66.1692,8.778,7.5035,0.0094,2.6055,78.5989,213.7092,13.9887,10.5617,10.6835,10.2773,10.075,12.9756,-37.4834,干层
1937.9523,66.6732,8.778,7.267,0.0139,2.6045,79.8094,215.6151,13.4697,10.2622,10.9955,10.4683,9.9665,12.5876,-37.5414,干层
1937.9836,67.1792,8.778,7.0291,0.0179,2.6035,81.0246,218.6943,12.9487,9.9615,11.3087,10.6595,9.8575,12.1976,-37.5996,干层
1938.0149,67.5717,8.7775,6.9546,0.021,2.603,81.7543,222.6604,12.6284,9.8817,11.5168,10.7938,10.0826,11.944,-37.6443,干层
1938.0462,67.8412,8.777,7.0581,0.023,2.603,81.9567,227.2844,12.5264,10.0427,11.6113,10.8663,10.6741,11.8394,-37.6748,干层
1938.0775,68.1112,8.7765,7.1615,0.025,2.603,82.1601,232.0259,12.424,10.2044,11.7062,10.9391,11.268,11.7346,-37.7054,干层
1938.1088,68.2673,8.7765,7.3428,0.026,2.6044,81.8657,236.0815,12.4849,10.5604,11.6978,10.9395,12.0363,11.7343,-37.7253,干层
1938.1401,68.2724,8.777,7.6297,0.025,2.6075,80.907,239.0912,12.7635,11.1786,11.5532,10.8428,13.0446,11.8744,-37.731,干层
1938.1714,68.2464,8.777,7.9367,0.0235,2.6105,79.8185,241.3257,13.085,11.847,11.3817,10.7273,14.0966,12.0424,-37.7335,干层
1938.2027,68.1661,8.778,8.2469,0.0225,2.6144,78.7121,243.8224,13.5635,12.6524,11.1529,10.5572,15.1493,12.3082,-37.7287,干层
1938.234,67.9925,8.7805,8.5598,0.021,2.6199,77.5868,247.1065,14.307,13.6843,10.8278,10.294,16.1913,12.7392,-37.7098,干层
1938.2653,67.781,8.784,8.8743,0.0195,2.6254,76.4518,250.8521,15.1595,14.8098,10.4633,9.993,17.2308,13.2377,-37.6848,干层
1938.2966,67.5662,8.7885,9.1605,0.018,2.6305,75.557,254.6033,16.1522,15.8388,10.0831,9.6707,18.1179,13.8203,-37.6548,干层
1938.3279,67.3457,8.7944,9.3712,0.017,2.6345,75.2867,256.8066,17.4874,16.6067,9.6669,9.2996,18.6046,14.6079,-37.6119,干层
1938.3592,67.1209,8.8015,9.5374,0.017,2.6375,75.3961,256.3181,19.04,17.2196,9.2267,8.8966,18.8505,15.5254,-37.5602,干层
1938.3905,66.9202,8.8085,9.684,0.017,2.64,75.6613,252.665,20.5051,17.6639,8.7947,8.4966,18.8768,16.3804,-37.5062,干层
1938.4218,66.8384,8.816,9.7336,0.0175,2.639,76.7129,244.9057,21.5627,17.2757,8.394,8.105,17.8066,16.9388,-37.4393,干层
1938.4531,66.8535,8.824,9.705,0.0185,2.635,78.408,233.7625,22.2925,16.208,8.017,7.719,15.8415,17.2585,-37.361,干层
