Depth,CALS,DRHO,DT,GR,ILD,ILM,LLD,LLS,MSFL,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1252.5916,9.0859,-3.0E-4,89.5032,91.875,4.4984,4.9445,6.2832,5.4782,15.2266,0.2512,3.2695,2.4976,6.6997,-57.625,612.0,413.5,606.0,410.0,水层
1252.6424,9.4062,-0.0037,91.1873,92.8125,4.5826,4.7196,5.6811,4.9837,16.0938,0.2513,3.25,2.501,6.8532,-57.125,610.0,414.0,603.0,410.0,水层
1252.6932,9.2188,-0.0037,93.1741,100.1875,4.7492,4.3728,5.2507,4.6939,16.2028,0.2509,2.8125,2.5026,5.4048,-57.4375,608.0,420.0,601.5,415.0,水层
1252.744,9.125,-0.0046,94.9161,102.375,4.8449,4.3765,4.2875,4.0415,16.5,0.2633,2.7617,2.4825,3.7846,-58.0938,605.0,419.0,600.0,416.0,水层
1252.7948,9.2031,0.0018,95.2322,100.125,4.8939,4.5199,4.3377,4.0718,16.4062,0.2672,2.8145,2.4913,3.4172,-57.6562,605.0,421.0,596.5,416.25,水层
1252.8456,9.4298,9.0E-4,93.4518,95.5612,4.897,4.6666,4.8684,4.5714,15.9531,0.276,2.873,2.486,3.9162,-57.4064,602.0012,426.2468,594.9992,421.0004,水层
1252.8964,9.5781,-0.002,91.68,93.9375,4.8167,4.843,5.9455,5.3676,15.625,0.2878,2.9355,2.488,4.4157,-57.6875,603.5,422.25,594.0,421.5,水层
1252.9472,9.0547,-0.0037,90.4178,95.1875,4.9276,5.1151,6.7497,5.9523,15.5781,0.284,2.9979,2.4735,5.3431,-58.0625,605.502,419.996,598.0016,416.2474,水层
1252.998,8.5391,-0.0109,89.2169,91.625,5.14,5.2467,7.2624,6.2887,15.4924,0.263,2.8398,2.456,6.6403,-58.3125,608.0,415.0,600.0,413.0,水层
1253.0488,8.6562,-0.0163,89.5782,87.8125,5.1915,5.3029,6.7885,5.9874,15.7734,0.2386,2.7012,2.4248,7.3228,-58.4375,604.0,415.5,598.0,413.0,水层
1253.0996,8.7578,-0.0144,91.068,84.8125,5.4764,5.4189,6.4871,5.7892,16.1562,0.2357,2.4902,2.4261,6.2714,-58.625,602.0,412.0,594.5,410.75,水层
1253.1504,9.1953,-0.0111,91.4396,85.25,5.6858,5.433,6.0117,5.4293,16.7344,0.2494,2.4668,2.4372,5.479,-58.3125,602.5,410.25,597.5,410.0,水层
1253.2012,9.4453,-0.0095,91.5655,87.3125,5.7907,5.5756,6.1274,5.4226,17.0312,0.254,2.6035,2.4698,5.2209,-57.8438,598.5,411.5,594.0,413.5,水层
1253.252,9.5312,-0.004,91.1638,87.875,5.7884,5.636,6.3108,5.539,16.9688,0.2538,2.6055,2.4928,5.3757,-57.7188,599.0,414.25,592.5,416.25,水层
1253.3028,8.8594,-0.0047,91.2747,84.9375,5.7961,5.8414,6.5172,5.7276,16.875,0.2537,2.8262,2.4834,5.545,-58.0938,600.5,414.0,594.0,418.75,水层
1253.3536,8.4688,-0.008,91.3701,85.4375,5.9288,5.9993,7.2193,6.215,17.3115,0.2525,2.9434,2.4596,5.6873,-58.5938,603.0,412.25,597.5,417.5,水层
1253.4044,8.4766,-0.0124,91.4942,80.625,6.1377,6.1011,7.5997,6.479,18.1875,0.2497,3.0371,2.4194,6.0131,-58.9688,598.0,411.0,594.0,415.5,水层
1253.4552,8.4922,-0.0099,91.2011,81.9375,6.2289,6.3459,7.7293,6.6834,18.9688,0.2508,2.7969,2.4151,6.655,-58.7188,594.0,411.5,588.5,416.25,水层
1253.506,8.4922,-0.011,89.8083,77.0625,6.6116,6.5572,8.6139,7.3003,19.0312,0.2528,2.7228,2.4023,6.7681,-59.0,593.9984,410.0,587.9988,413.9976,水层
1253.5568,8.2422,-0.0112,88.7538,78.5625,6.6483,6.8402,8.7736,7.4108,18.9219,0.2523,2.9062,2.43,7.0221,-59.0625,592.0,410.0,586.5,411.0,水层
1253.6076,8.3672,-0.0062,88.9716,77.5625,6.6879,6.977,9.0074,7.5584,19.1406,0.2458,2.959,2.4502,7.5826,-59.25,594.0,409.5,588.0,409.5,水层
1253.6584,8.4766,-0.0022,89.0529,76.3125,6.7345,6.8402,9.3109,7.6966,19.5303,0.233,3.0742,2.4725,8.4142,-59.1562,594.0,410.0,589.0,410.0,水层
1253.7092,8.5078,0.0031,89.9504,76.5,6.5322,6.5984,8.5678,7.1796,19.8438,0.2391,2.8047,2.4638,8.0737,-59.125,592.0,410.25,586.0,411.0,水层
1253.76,8.875,0.0029,90.2916,80.25,6.5134,6.3691,7.328,6.1964,19.625,0.2517,2.8359,2.4517,6.9006,-58.8125,591.5,408.0,585.5,411.5,水层
1253.8108,9.3359,0.0072,89.7546,86.0,6.5311,6.2659,6.9891,5.901,19.2344,0.2663,2.6426,2.4521,5.983,-58.4062,593.0,407.5,586.0,408.0,水层
1253.8616,9.6406,0.0046,89.4666,95.125,6.5705,6.424,6.9964,5.9348,18.8438,0.2731,2.7988,2.4638,5.5657,-58.8125,590.0,409.0,585.5,413.5,水层
1253.9124,9.5859,0.0074,89.3074,97.875,6.467,6.4121,7.3789,6.1956,18.4531,0.2659,2.8672,2.491,5.7419,-58.6562,588.0,408.25,583.0,412.75,水层
1253.9632,9.1406,0.0029,89.0556,93.6875,6.3348,6.3382,7.6184,6.4057,18.5312,0.2651,3.0312,2.4945,6.5102,-58.2812,595.0,408.25,591.5,410.25,水层
1254.014,9.4062,-0.0033,89.7177,93.1875,6.262,6.3382,7.9198,6.6198,19.0768,0.2504,3.0645,2.4861,6.655,-58.0312,597.5,409.0,591.0,410.25,水层
1254.0648,9.5389,-0.0043,91.0155,93.0698,6.0682,6.2433,7.8418,6.54,19.7969,0.2462,3.0762,2.4676,6.6997,-58.3442,596.9992,409.5028,592.4996,411.502,水层
1254.1156,9.3047,0.001,91.7392,102.125,6.1068,6.0762,7.4013,6.2335,20.0156,0.2385,3.1172,2.4762,6.7148,-58.7812,596.0,413.0,592.0,414.0,水层
1254.1664,9.5859,0.0021,91.6842,104.625,5.9842,5.9821,7.0927,6.0234,20.25,0.2663,3.0839,2.485,6.3984,-58.6562,598.002,415.0014,592.0016,416.75,水层
1254.2172,9.5625,-0.0022,91.6995,108.5625,5.8353,5.9582,7.0016,5.9451,20.4375,0.271,3.0059,2.501,5.9121,-58.5625,600.5,416.75,594.0,416.75,水层
1254.268,9.3828,0.0056,92.2658,108.5625,5.7111,5.7798,6.6025,5.6485,21.0469,0.2903,2.8496,2.521,5.7919,-58.3438,604.5,420.75,598.0,417.5,水层
1254.3188,9.2891,0.0044,92.1297,105.6875,5.4518,5.5727,6.538,5.5671,21.2963,0.2671,2.875,2.5244,5.8201,-57.9062,608.0,419.5,600.5,419.0,水层
